station,usage,total_bikes,poi_name,poi_distance,poi_address
Faubourg Du Temple - Republique,0.5,38,Les Parigots,262.0,"5 rue du Château d'Eau, 75010 Paris"
Faubourg Du Temple - Republique,0.5,38,Martin Bar,297.0,"40 bis rue René Boulanger, 75010 Paris"
Faubourg Du Temple - Republique,0.5,38,Café Bonne Bière,247.0,"32 rue du Faubourg du Temple (Rue de la Fontaine-au-Roi), 75011 Paris"
Faubourg Du Temple - Republique,0.5,38,La Marine,303.0,"55 quai de Valmy, 75010 Paris"
Faubourg Du Temple - Republique,0.5,38,La Pharmacie de la Place République,163.0,"5 place de la République, 75003 Paris"
Faubourg Du Temple - Republique,0.5,38,Tout Autour du Pain,354.0,"134 rue de Turenne, 75003 Paris"
Faubourg Du Temple - Republique,0.5,38,Boulangerie Utopie,397.0,"20 rue Jean Pierre Timbaud, 75011 Paris"
Beaux-Arts - Bonaparte,0.1052631578947368,19,Josephine Bakery,135.0,"42 rue Jacob, 75006 Paris"
Beaux-Arts - Bonaparte,0.1052631578947368,19,Le Pré aux Clercs,133.0,"35 rue Bonaparte rue Jacob (Rue Jacob), 75006 Paris"
Beaux-Arts - Bonaparte,0.1052631578947368,19,Le Comptoir des Saints Pères,227.0,"29 rue des Saints-Pères (60 rue Jacob), 75006 Paris"
Beaux-Arts - Bonaparte,0.1052631578947368,19,Pont des Arts,310.0,"Pont des Arts, 75006 Paris"
Beaux-Arts - Bonaparte,0.1052631578947368,19,Les Deux Magots,299.0,"6 place Saint-Germain des Prés, 75006 Paris"
Beaux-Arts - Bonaparte,0.1052631578947368,19,Électricité de France,50.0,"10 rue Bonaparte, 75006 Paris"
Beaux-Arts - Bonaparte,0.1052631578947368,19,Café Louise,322.0,"155 boulevard Saint-Germain, 75006 Paris"
Beaux-Arts - Bonaparte,0.1052631578947368,19,Place du Québec,347.0,"place du Québec, 75006 Paris"
Beaux-Arts - Bonaparte,0.1052631578947368,19,Maison Sauvage,378.0,"5 rue de Buci, 75006 Paris"
Beaux-Arts - Bonaparte,0.1052631578947368,19,Square du Vert-Galant,402.0,"15 place du Pont Neuf, 75001 Paris"
Toudouze - Clauzel,0.8,20,Maison Landemaine Martyrs,205.0,"26 rue des Martyrs, 75009 Paris"
Toudouze - Clauzel,0.8,20,Cyprien,196.0,"64 rue Notre Dame de Lorette, 75009 Paris"
Toudouze - Clauzel,0.8,20,Bo Man,58.0,"33 rue Notre-Dame de Lorette, 75009 Paris"
Toudouze - Clauzel,0.8,20,KBCafeshop,289.0,"53 avenue Trudaine, 9e (62 rue des Martyrs), 75009 Paris"
Toudouze - Clauzel,0.8,20,Farine & O,278.0,"10 rue des Martyrs, 75009 Paris"
Toudouze - Clauzel,0.8,20,A la place saint Georges,110.0,"60 rue Saint-Georges, 75009 Paris"
