company,href,id,name,location.city,location.country,location.latitude,location.longitude,source,gbfs_href,license.name,license.url,ebikes
['Nextbike GmbH'],/v2/networks/citybikelinz,citybikelinz,city bike Linz,Linz,AT,48.3003,14.2843,,,,,
['Nextbike GmbH'],/v2/networks/velopark-drobeta,velopark-drobeta,Drobeta Velopark,Drobeta,RO,44.6326,22.6564,,,,,
['Nextbike GmbH'],/v2/networks/nomago-gorica,nomago-gorica,Nomago Bikes - GO2GO,Nova Gorica,SI,45.9576,13.6406,,,,,
['Nextbike GmbH'],/v2/networks/saturn,saturn,Saturn,Saturn,RO,43.82,28.7445,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-frydek-mistek,nextbike-frydek-mistek,nextbike Frýdek-Místek,Frýdek-Místek,CZ,49.6832,18.3457,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-uherske-hradiste,nextbike-uherske-hradiste,nextbike Uherské Hradiště,Uherské Hradiště,CZ,49.0678,17.4665,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-zlin,nextbike-zlin,nextbike Zlín,Zlín,CZ,49.238,17.6788,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-krnov,nextbike-krnov,nextbike Krnov,Krnov,CZ,50.0703,17.8837,,,,,
['Nextbike GmbH'],/v2/networks/eifel,eifel,Eifel e-Bike,Eifel e-Bike,DE,50.5771,6.64673,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-rychnovsko,nextbike-rychnovsko,nextbike Rychnovsko,Rychnovsko,CZ,50.1668,16.2828,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-pisek,nextbike-pisek,nextbike Písek,Písek,CZ,49.3051,14.1463,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-jihlava,nextbike-jihlava,nextbike Jihlava,Jihlava,CZ,49.4078,15.6061,,,,,
['Nextbike GmbH'],/v2/networks/nomago-zanaprej,nomago-zanaprej,Nomago Bikes - ZANAPREJ,Zagorje ob Savi,SI,46.1392,14.9785,,,,,
['Nextbike GmbH'],/v2/networks/rower-powiatowy-sokolow-podlaski,rower-powiatowy-sokolow-podlaski,Rower Powiatowy Sokołów Podlaski,Sokołów Podlaski,PL,52.4082,22.2525,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-bergamo,nextbike-bergamo,nextbike Bergamo,Bergamo,IT,45.6986,9.67567,,,,,
['Nextbike GmbH'],/v2/networks/emobi-osijek,emobi-osijek,eMobi (Croatia),Osijek,HR,45.554,18.6943,,,,,
['Nextbike GmbH'],/v2/networks/arval-scandicci,arval-scandicci,ARVAL,Scandicci,IT,43.7701,11.1592,,,,,
['Bremer Tageszeitungen AG'],/v2/networks/nextbike-oldenburg,nextbike-oldenburg,OLi-Bike,Oldenburg,DE,53.1448,8.22485,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-urdaibai,nextbike-urdaibai,BBK Klimabizi,Urdaibai,ES,43.395,-2.68815,,,,,
['Nextbike GmbH'],/v2/networks/mvrad-hq,mvrad-hq,MV-Rad,MV-Rad,DE,53.6707,12.4255,,,,,
['Nextbike GmbH'],/v2/networks/mvrad-anklam,mvrad-anklam,MV-Rad,Anklam,DE,53.8614,13.6907,,,,,
['Nextbike GmbH'],/v2/networks/greifswald,greifswald,StadtRad Greifswald,Greifswald (StadtRad),DE,54.0961,13.3787,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-dvur-kralove,nextbike-dvur-kralove,nextbike Dvůr Králové,Dvůr Králové,CZ,50.4278,15.8162,,,,,
['Nextbike GmbH'],/v2/networks/vvtregiorad-kufstein,vvtregiorad-kufstein,VVT REGIORAD Tirol,Kufstein,AT,47.583,12.1692,,,,,
['Nextbike GmbH'],/v2/networks/vvtregiorad-ellmau,vvtregiorad-ellmau,VVT REGIORAD Tirol,Ellmau,AT,47.5134,12.3025,,,,,
['Nextbike GmbH'],/v2/networks/ski-rower-chelm,ski-rower-chelm,Chełmski Rower,Chełm,PL,51.1318,23.4755,,,,,
['Nextbike GmbH'],/v2/networks/nextbike-vrchlabi,nextbike-vrchlabi,nextbike Vrchlabí,Vrchlabí,CZ,50.6222,15.6126,,,,,
['Nextbike GmbH'],/v2/networks/winsenrad,winsenrad,WinsenRad,Winsen (Luhe),DE,53.3547,10.2067,,,,,
['Nextbike GmbH'],/v2/networks/nomago-portoroz,nomago-portoroz,Nomago Bikes - PORTOROZ,Portorož,SI,45.5054,13.5979,,,,,
['Nextbike GmbH'],/v2/networks/vrn-landau,vrn-landau,VRN,Landau in der Pfalz,DE,49.1975,8.11693,,,,,
['Velocity Region Aachen GmbH'],/v2/networks/velocity-aachen,velocity-aachen,Velocity,Aachen,DE,50.776667,6.083611,,https://nitro.openvelo.org/aachen/velocity/v2/gbfs.json,,,
['PBSC Urban Solutions'],/v2/networks/avelo-quebec,avelo-quebec,àVélo,Québec,CA,46.81305,-71.2168,,https://quebec.publicbikesystem.net/customer/gbfs/v2/gbfs.json,,,
['PBSC Urban Solutions'],/v2/networks/acces-velo-saguenay,acces-velo-saguenay,Accès Vélo,Saguenay,CA,48.433333,-71.083333,,https://saguenay.publicbikesystem.net/customer/gbfs/v2/gbfs.json,,,
